Street_ID,lat,lon
571-,760199.5182,2961188.295
324-,764261.1525,2961174.406
490-,758520.1814,2961111.865
510-,765137.9641,2960924.88
672-,764879.0273,2960954.18
324-,764496.0776,960907.1313
338-,760297.0574,2960902.981
324-,764608.9031,960870.1684
357-,762497.91,2960814.59
225-,758458.9847,2960774.812
672-,764801.368,2960772.07
324-,764648.7216,2960749.296
338-,760734.4742,2960744.406
388-,763760.5826,2960737.526
497-,764630.7131,2960724.637
227-,761454.8172,2960723.082
225-,758502.2477,2960712.145
324-,764753.8316,2960705.419
463-,762780.9432,2960693.647
636-,768406.4441,2960862.21
257-,762995.4775,960641.1895
794-,762402.3265,2960633.552
338-,761028.1317,2960601.887
338-,761142.354,2960598.498
324-,764801.6508,960585.4616
526-,767892.4241,2960564.65
131-,763841.091,2960543.733
567-,764329.2889,2960483.199
471-,760470.3724,2960467.598
680-,765686.7379,960431.4144
388-,763630.7932,2960421.92
510-,764877.4735,2960417.692
131-,764170.9699,2960398.325
567-,764236.1877,2960386.443
295-,764354.7977,2960386.416
15-,763876.1316,2960332.548
328-,762592.5535,2960319.836
526-,769434.0024,2960310.432
510-,764823.507,2960290.202
388-,763519.4427,2960203.532
471-,760646.0252,2960178.02
227-,761174.7351,960154.5557
99-,763418.3497,2960131.437
48-,760351.1331,2960130.883
99-,763554.9203,2960111.885
388-,763437.2795,2960105.635
15-,763745.1266,2960081.816
625-,769965.2776,2960089.362
99-,763749.1545,2960010.419
166-,765237.4803,2960007.271
338-,762690.531,2959984.234
750-,766377.4537,2960004.938
560-,767009.5821,2959979.006
338-,762815.3106,2959967.251
750-,766499.8606,2959953.347
721-,763258.6709,2959941.961
672-,764373.1989,959934.4488
560-,766963.5027,2959866.467
308-,760123.4751,2959890.656
568-,760610.4551,2959851.967
207-,759609.2071,2959840.587
65-,766573.2348,2959830.504
567-,763984.513,2959822.65
680-,765455.3903,2959817.509
230-,764890.1424,2959749.424
551-,765700.6441,2959707.032
99-,764295.5074,2959669.203
338-,763466.6167,2959661.858
471-,761733.8183,2959630.928
50-,761410.8515,2959617.425
283-,760657.8188,2959569.24
324-,765790.9155,959569.1638
262-,768630.8734,2959488.668
568-,760624.562,2959500.567
338-,763747.8222,2959491.087
252-,760412.5437,2959474.739
98-,765999.3967,959445.6401
717-,766270.8545,2959098.052
311-,761498.6469,2959430.969
98-,766465.323,2959414.348
471-,761996.4464,2959411.622
324-,765944.3115,959400.1553
560-,766753.2683,2959363.938
98-,765885.7063,2959310.381
568-,760621.8514,2959268.127
324-,765982.0424,2959287.795
283-,761240.1405,2959270.191
265-,760545.8145,2959251.84
48-,760301.6073,2959251.136
338-,764270.0534,2959245.141
99-,765318.9706,2959185.608
568-,760589.1956,2959155.579
388-,762986.7952,2959139.399
68-,767098.3808,2959126.879
567-,763620.934,2959123.545
510-,764320.6547,2959123.497
50-,761171.2007,2959114.819
99-,765388.4505,2959094.958
568-,760619.8763,2959034.727
388-,762847.7482,2958977.177
36-,763142.4845,2958966.06
625-,769771.049,2958936.855
283-,761782.0597,958929.0663
36-,763251.1381,958923.8672
388-,762753.0578,2958913.969
806-,767290.8154,2958767.201
606-,769958.9075,2958696.437
567-,763318.8604,2958686.906
68-,768182.3924,2958663.453
324-,766634.3423,2958643.555
68-,768311.0023,2958640.791
68-,768573.0241,2958595.97
36-,763673.0986,2958588.966
231-,760416.3203,2958530.756
560-,766397.4356,958512.6843
99-,766739.9642,2958459.406
99-,766643.132,2958491.234
201-,766156.547,2958470.054
283-,762928.6798,2958076.14
166-,764589.7467,958454.2106
550-,762525.8141,2958447.515
99-,766703.2477,2958406.053
48-,760232.2177,2958354.196
411-,761839.6065,2958315.812
638-,762051.4709,2958307.906
36-,764070.8235,2958273.991
600-,762746.3435,2958249.566
568-,760503.681,2958240.671
354-,760719.0628,2958169.794
568-,760527.598,2958133.91
600-,762497.0297,2958122.124
34-,762578.1218,2958050.028
568-,760503.7683,2958030.503
600-,762158.1465,2958006.287
457-,762731.0017,2957949.293
600-,762076.9492,2957929.938
600-,761957.9347,957913.9069
36-,764573.3707,2957828.757
600-,761738.5877,957812.6686
36-,764702.7674,2957771.346
600-,761632.6322,2957724.361
462-,765100.3726,2957669.49
457-,762547.7307,957663.8736
462-,764760.0898,2957653.191
462-,764974.0697,2957632.763
560-,766028.3606,2957628.177
462-,765190.8255,2957612.452
462-,765742.2191,2957610.394
457-,762455.9412,2957608.238
462-,765947.91,2957590.544
462-,765637.7413,2957568.785
34-,763147.8683,2957552.541
733-,762892.3642,2957526.341
462-,766061.3556,957525.2279
600-,761172.4996,957513.6351
34-,763207.3082,2957505.817
462-,766292.0359,2957502.512
457-,762412.4042,2957498.389
600-,761027.6859,2957486.914
176-,762569.1644,2957465.52
462-,766801.446,957453.1123
6-,766383.081,2957450.591
457-,762307.809,2957425.799
176-,762692.6438,2957405.713
99-,768611.5766,2957419.229
457-,762269.3921,2957321.237
600-,760562.3381,957272.3547
348-,768254.0012,2957225.416
715-,763106.4695,2957202.875
533-,761555.8062,2957183.336
533-,761625.8704,2957126.261
457-,761996.512,2956984.83
538-,762619.8756,2956972.356
457-,761853.263,2956809.654
240-,761862.093,2956770.788
6-,765285.8106,2956754.725
102-,763082.9813,2956724.15
676-,763174.3036,2956649.993
550-,760965.4836,2956644.11
9-,761130.32904692 2,56636.79138
457-,761697.7387,2956612.701
240-,762063.5644,2956606.084
550-,760903.3167,2956573.815
568-,760812.0433,2956527.914
406-,761185.4487,2956508.212
102-,762897.3455,2956482.826
539-,762586.8901,2956413.088
550-,760589.9479,2956237.824
9-,761688.7613,2956229.462
635-,763260.4107,2956172.044
146-,760738.1392,2956111.65
320-,762306.1715,2956065.408
538-,761699.1629,2955865.391
457-,761021.3982,2955836.597
505-,761386.4903,2955834.563
635-,762900.1362,955767.073
505-,761338.1843,2955769.553
635-,762835.7315,2955685.448
457-,760867.6826,2955645.493
240-,763390.1415,2955553.714
302-,760825.8943,2955467.372
568-,762189.3332,2955418.274
677-,761270.499,2955396.394
457-,760691.0652,2955370.068
568-,762307.9789,2955364.9
102-,762022.7046,2955356.278
